 ObserverTime   Thickness    Loading      Total     Observer
 0.86133E-02      0.0963     -0.6277     -0.5314        1
 0.86342E-02      0.0964     -0.6310     -0.5346        1
 0.86551E-02      0.0965     -0.6363     -0.5398        1
 0.86760E-02      0.0965     -0.6421     -0.5456        1
 0.86969E-02      0.0966     -0.6454     -0.5487        1
 0.87178E-02      0.0967     -0.6459     -0.5492        1
 0.87387E-02      0.0968     -0.6441     -0.5473        1
 0.87596E-02      0.0968     -0.6381     -0.5413        1
 0.87805E-02      0.0968     -0.6286     -0.5318        1
 0.88014E-02      0.0969     -0.6161     -0.5192        1
 0.88223E-02      0.0969     -0.6025     -0.5056        1
 0.88432E-02      0.0969     -0.5889     -0.4920        1
 0.88641E-02      0.0969     -0.5783     -0.4814        1
 0.88851E-02      0.0969     -0.5688     -0.4719        1
 0.89060E-02      0.0969     -0.5609     -0.4640        1
 0.89269E-02      0.0969     -0.5543     -0.4574        1
 0.89478E-02      0.0968     -0.5504     -0.4535        1
 0.89687E-02      0.0968     -0.5487     -0.4519        1
 0.89896E-02      0.0967     -0.5509     -0.4542        1
 0.90105E-02      0.0967     -0.5534     -0.4567        1
 0.90314E-02      0.0966     -0.5556     -0.4590        1
 0.90523E-02      0.0965     -0.5589     -0.4624        1
 0.90732E-02      0.0964     -0.5616     -0.4651        1
 0.90941E-02      0.0963     -0.5635     -0.4672        1
 0.91150E-02      0.0962     -0.5635     -0.4673        1
 0.91359E-02      0.0961     -0.5614     -0.4653        1
 0.91568E-02      0.0959     -0.5574     -0.4615        1
 0.91777E-02      0.0958     -0.5563     -0.4605        1
 0.91986E-02      0.0956     -0.5540     -0.4584        1
 0.92195E-02      0.0954     -0.5518     -0.4564        1
 0.92405E-02      0.0952     -0.5515     -0.4563        1
 0.92614E-02      0.0949     -0.5520     -0.4571        1
 0.92823E-02      0.0947     -0.5542     -0.4594        1
 0.93032E-02      0.0944     -0.5580     -0.4635        1
 0.93241E-02      0.0942     -0.5596     -0.4655        1
 0.93450E-02      0.0938     -0.5575     -0.4636        1
 0.93659E-02      0.0935     -0.5514     -0.4578        1
 0.93868E-02      0.0932     -0.5406     -0.4474        1
 0.94077E-02      0.0928     -0.5286     -0.4357        1
 0.94286E-02      0.0924     -0.5184     -0.4260        1
 0.94495E-02      0.0920     -0.5114     -0.4194        1
 0.94704E-02      0.0915     -0.5064     -0.4149        1
 0.94913E-02      0.0911     -0.5057     -0.4147        1
 0.95122E-02      0.0906     -0.5103     -0.4197        1
 0.95331E-02      0.0900     -0.5192     -0.4292        1
 0.95540E-02      0.0894     -0.5316     -0.4421        1
 0.95749E-02      0.0888     -0.5425     -0.4537        1
 0.95958E-02      0.0882     -0.5508     -0.4626        1
 0.96168E-02      0.0875     -0.5576     -0.4701        1
 0.96377E-02      0.0868     -0.5585     -0.4717        1
 0.96586E-02      0.0860     -0.5555     -0.4694        1
 0.96795E-02      0.0853     -0.5516     -0.4663        1
 0.97004E-02      0.0844     -0.5474     -0.4630        1
 0.97213E-02      0.0835     -0.5448     -0.4613        1
 0.97422E-02      0.0826     -0.5429     -0.4603        1
 0.97631E-02      0.0816     -0.5408     -0.4593        1
 0.97840E-02      0.0806     -0.5398     -0.4592        1
 0.98049E-02      0.0795     -0.5384     -0.4590        1
 0.98258E-02      0.0783     -0.5384     -0.4601        1
 0.98467E-02      0.0771     -0.5376     -0.4605        1
 0.98676E-02      0.0758     -0.5308     -0.4550        1
 0.98885E-02      0.0746     -0.5171     -0.4425        1
 0.99094E-02      0.0732     -0.4963     -0.4232        1
 0.99303E-02      0.0717     -0.4779     -0.4062        1
 0.99512E-02      0.0702     -0.4625     -0.3924        1
 0.99722E-02      0.0686     -0.4545     -0.3859        1
 0.99931E-02      0.0669     -0.4437     -0.3768        1
 0.10014E-01      0.0651     -0.4383     -0.3732        1
 0.10035E-01      0.0633     -0.4376     -0.3743        1
 0.10056E-01      0.0614     -0.4516     -0.3902        1
 0.10077E-01      0.0594     -0.4668     -0.4075        1
 0.10098E-01      0.0573     -0.4879     -0.4306        1
 0.10119E-01      0.0551     -0.5026     -0.4475        1
 0.10139E-01      0.0528     -0.5118     -0.4590        1
 0.10160E-01      0.0505     -0.5088     -0.4584        1
 0.10181E-01      0.0480     -0.5051     -0.4572        1
 0.10202E-01      0.0454     -0.4958     -0.4505        1
 0.10223E-01      0.0427     -0.4730     -0.4303        1
 0.10244E-01      0.0399     -0.4506     -0.4107        1
 0.10265E-01      0.0370     -0.4396     -0.4027        1
 0.10286E-01      0.0340     -0.4332     -0.3993        1
 0.10307E-01      0.0308     -0.4153     -0.3845        1
